"Mol_don","Mol_acc","PCE","Voc","Jsc","FF","SMILES_acc","SMILES_don","DOI"
"PBDB-T","TPDCNC","9.8","0.8","17.4","70.4","CCN1C(=O)c2c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc3C4(CC)CC)sc(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc3C4(CC)CC)c2C1=O","CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1","10.1007/s10118-019-2309-x"
"PBDB-TF","ID-4F","6.4","0.73","13.5","65","CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1016/j.nanoen.2020.104861"
"PBDB-TF","IDST-4F","14.3","0.82","24.9","70","CCSc1cc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc1-c1cc2c(s1)-c1cc3c(cc1C2(CC)CC)-c1sc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)cc1C3(CC)CC","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1016/j.nanoen.2020.104861"
"PTZ1","IDIC","11.5","0.92","16.4","76.2","CCC1(CC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3","CCc1csc(-c2nc3sc(-c4cc(CC)c(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8sc(-c9nc%10sc(-c%11cc(CC)c(-c%12cc%13c(-c%14ccc(CC)s%14)c%14sc(-c%15sc(-c%16nc%17sc(-c%18cc(CC)c(-c%19cc%20c(-c%21ccc(CC)s%21)c%21sccc%21c(-c%21ccc(CC)s%21)c%20s%19)s%18)nc%17s%16)cc%15CC)cc%14c(-c%14ccc(CC)s%14)c%13s%12)s%11)nc%10s9)cc8CC)cc7c(-c7ccc(CC)s7)c6s5)s4)nc3s2)c1","10.1002/adma.201702291"
"J52-Cl","BTA1","0.6","1.33","1.25","36.19","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=S)N(CC)C6=O)c6nn(CC)nc56)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CC)C5=O)c5nn(CC)nc35)sc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"J52-Cl","BTA11","0.13","1.2","0.43","25.92","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=C7\SC(=S)N(CC)C7=O)c7nn(CC)nc67)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nn(CC)nc45)sc23)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"J52-Cl","BTA13","7.16","1.23","9.95","58.42","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)c7nn(CC)nc67)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nn(CC)nc45)sc23)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"J52-Cl","BTA17","5.18","1.09","7.08","67.17","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nn(CC)nc67)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nn(CC)nc45)sc23)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"J52-Cl","BTA3","10.5","1.24","13.16","66.62","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6/sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CC)nc56)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)c5nn(CC)nc35)sc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"J52-Cl","BTA7","5.78","1.13","9.74","52.54","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nn(CC)nc56)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nn(CC)nc35)sc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(Cl)c(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(Cl)c(CC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(Cl)c(CC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(Cl)c(CC)s3)c3ccsc23)cc1Cl","10.1016/j.orgel.2021.106195"
"PTZ6","ITIC","10.3","1.01","14.1","72.3","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1","CCOc1cc(OCC)cc(-c2c3cc(-c4ccc(-c5sc(-c6nc(CC)c(-c7ccc(-c8cc9c(-c%10cc(OCC)cc(OCC)c%10)c%10sc(-c%11ccc(-c%12sc(-c%13nc(CC)c(-c%14ccc(-c%15cc%16c(-c%17cc(OCC)cc(OCC)c%17)c%17sc(-c%18ccc(-c%19sc(-c%20nc(CC)c(-c%21cccs%21)s%20)nc%19CC)s%18)cc%17c(-c%17cc(OCC)cc(OCC)c%17)c%16s%15)s%14)s%13)nc%12CC)s%11)cc%10c(-c%10cc(OCC)cc(OCC)c%10)c9s8)s7)s6)nc5CC)s4)sc3c(-c3cc(OCC)cc(OCC)c3)c3ccsc23)c1","10.1016/j.nanoen.2017.03.013"
"P3HT","H1","5.4","1.17","7.74","60","CCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(=C4c6cc(-c7ccc(C8=C9C(=O)N(CC)C(c%10cccs%10)=C9C(=O)N8CC)s7)ccc6-c6ccc(-c7ccc(C8=C9C(=O)N(CC)C(c%10cccs%10)=C9C(=O)N8CC)s7)cc64)c4cc(-c6ccc(C7=C8C(=O)N(CC)C(c9cccs9)=C8C(=O)N7CC)s6)ccc4-5)s3)N(CC)C(=O)C2=C1c1cccs1","CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC","10.1039/C7QM00084G"
"PTB7-Th","BTP-3V","2.06","0.72","6.46","44.3","CCc1c(/C=C/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C/C=C/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F","10.1039/D0MA01017K"
"PTB7-Th","BTP-4V","1.03","0.67","3.61","42.7","CCc1c(/C=C/C=C\C=C2/C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C/C=C/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F","10.1039/D0MA01017K"
"PBDB-T","IDT-NTI-2EH","9.07","0.92","14.43","69","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5cc6c7c8c(ccc9c8c(c6s5)C(=O)N(CC)C9=O)C(=O)N(CC)C7=O)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3cc5c6c7c(ccc8c7c(c5s3)C(=O)N(CC)C8=O)C(=O)N(CC)C6=O)sc2-4)cc1","CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1","10.1021/acs.chemmater.7b03733"
"J71","IT-4F","11.66","0.803","19.58","74.2","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1","CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1","10.1021/acs.chemmater.8b05327"
"J71","ITCF","13.25","0.91","18.48","78.8","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(C)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(C)c(F)cc5C4=C(C#N)C#N)sc23)cc1","CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1","10.1021/acs.chemmater.8b05327"
"J71","IT-DM","12.05","1.015","16.74","70.9","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(C)c(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(C)c(C)cc5C4=C(C#N)C#N)sc23)cc1","CCn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12ccc([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18ccc([Si](CC)(CC)CC)s%18)c%18sc(C)cc%18c(-c%18ccc([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12ccc([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6ccc([Si](CC)(CC)CC)s6)c5s4)s3)c2n1","10.1021/acs.chemmater.8b05327"
"PTIBT","ITIC","5.72","0.66","15.19","57","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1","CCN1C(=O)/C(=C\c2csc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7ccc(-c8sc(-c9ccc(-c%10cccs%10)s9)cc8/C=C8\C(=O)N(CC)c9ccccc98)s7)s6)cc5/C=C5\C(=O)N(CC)c6ccccc65)s4)s3)c2)c2ccccc21","10.1002/ajoc.202000172"
"PBDB-TF","IDF-4F","7.81","0.736","17.49","61","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3oc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)oc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1021/acsaem.0c01247"
"PBDB-TF","IDF-IC","7.8","0.905","14.55","59","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3oc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)oc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1021/acsaem.0c01247"
"PTB7-Th","IDTT-T","9.1","1.015","15.7","57","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)N(CC)C(=S)N(CC)C6=O)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc23)cc1","CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F","10.1021/acsenergylett.8b00366"
"PBDB-T","BCDT-4Cl","12.1","0.76","23.77","67","CCOc1c(OCC)c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)cc2C3(CC)CC)c2nsnc2c1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)cc1C2(CC)CC","CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1","10.1021/acsami.0c00837"
"FTAZ","IT-M","9.8","0.95","16.3","64","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1","CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12","10.1002/aenm.202000823"
"P3HT","FBR","4.11","0.82","7.95","63","CCN1C(=O)/C(=C/c2ccc(-c3ccc4c(c3)C(CC)(CC)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)ccc3-4)c3nsnc23)SC1=S","CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC","10.1021/ja5110602"
"PBDB-T","IE-4Cl","11.1","0.86","21.49","60","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc5CC)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3CC)sc2-4)cc1","CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1","10.1021/acsami.9b10243"
"PBDB-TF","IE-4Cl","9.7","0.89","17.82","61","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc5CC)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc3CC)sc2-4)cc1","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1021/acsami.9b10243"
